trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
110,2026-02-17 00:00:00-05:00,2026-02-17 01:00:00-05:00,long,4906.8999,4911.8999,4902.3999,4912.8999,5.0,1.0,0.2222,asian,3.0,1.0,4.0,0.0,23.1001,1,tp,0.6328
111,2026-02-17 01:00:00-05:00,2026-02-17 03:00:00-05:00,long,4930.0,4935.0,4925.5,4936.0,5.0,1.0,0.2222,asian,3.0,1.0,4.0,0.0,9.5,3,tp,0.3653
112,2026-02-17 03:00:00-05:00,2026-02-17 05:00:00-05:00,long,4939.5,4934.0,4935.0,4945.5,-5.5,-9.5,-2.1111,asian,3.0,1.0,4.0,7.3999,5.7002,3,sl,0.2442
113,2026-02-17 05:00:00-05:00,2026-02-17 06:00:00-05:00,long,4932.1001,4937.1001,4927.6001,4938.1001,5.0,1.0,0.2222,asian,3.0,1.0,4.0,0.0,16.6001,1,tp,0.2504
114,2026-02-17 06:00:00-05:00,2026-02-17 08:00:00-05:00,long,4948.7002,4943.2002,4944.2002,4954.7002,-5.5,-9.5,-2.1111,asian,3.0,1.0,4.0,59.3003,2.8999,2,sl,0.0544
115,2026-02-17 09:00:00-05:00,2026-02-17 10:00:00-05:00,long,4881.2998,4886.2998,4876.7998,4887.2998,5.0,1.0,0.2222,london,3.0,1.0,4.0,0.0,15.9004,1,tp,0.1284
116,2026-02-17 10:00:00-05:00,2026-02-17 11:00:00-05:00,long,4897.2002,4891.7002,4892.7002,4903.2002,-5.5,-9.5,-2.1111,london,3.0,1.0,4.0,9.5,0.0,1,sl,0.0012
117,2026-02-17 11:00:00-05:00,2026-02-17 13:00:00-05:00,long,4887.7002,4892.7002,4883.2002,4893.7002,5.0,1.0,0.2222,london,3.0,1.0,4.0,3.7002,30.0,3,tp,0.0989
118,2026-02-17 14:00:00-05:00,2026-02-17 18:00:00-05:00,long,4899.2998,4893.7998,4894.7998,4905.2998,-5.5,-9.5,-2.1111,overlap,3.0,1.0,4.0,22.3999,0.0,4,sl,0.0228
119,2026-02-18 11:00:00-05:00,2026-02-18 13:00:00-05:00,short,5018.2002,5016.2002,5025.7002,5015.2002,2.0,-2.0,-0.2667,london,3.0,1.0,4.0,1.8999,10.0,3,tp,0.6888
120,2026-02-19 01:00:00-05:00,2026-02-19 02:00:00-05:00,short,5032.3999,5030.3999,5039.8999,5029.3999,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,4.3999,1,tp,0.2082
121,2026-02-19 02:00:00-05:00,2026-02-19 03:00:00-05:00,short,5025.0,5033.5,5032.5,5022.0,-8.5,-12.5,-1.6667,asian,3.0,1.0,4.0,10.5,0.0,1,sl,0.0903
122,2026-02-19 03:00:00-05:00,2026-02-19 04:00:00-05:00,short,5032.5,5030.5,5040.0,5029.5,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,18.1001,1,tp,0.4422
123,2026-02-20 04:00:00-05:00,2026-02-20 05:00:00-05:00,short,5044.6001,5053.1001,5052.1001,5041.6001,-8.5,-12.5,-1.6667,asian,3.0,1.0,4.0,10.0,0.0,1,sl,0.107
124,2026-02-20 05:00:00-05:00,2026-02-20 06:00:00-05:00,short,5051.6001,5049.6001,5059.1001,5048.6001,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,14.8003,1,tp,0.1938
125,2026-02-20 08:00:00-05:00,2026-02-20 09:00:00-05:00,short,5060.5,5069.0,5068.0,5057.5,-8.5,-12.5,-1.6667,london,3.0,1.0,4.0,14.2998,0.0,1,sl,0.0396
126,2026-02-20 09:00:00-05:00,2026-02-20 10:00:00-05:00,short,5071.7998,5069.7998,5079.2998,5068.7998,2.0,-2.0,-0.2667,london,3.0,1.0,4.0,0.0,9.5,1,tp,0.0531
127,2026-02-20 10:00:00-05:00,2026-02-20 11:00:00-05:00,short,5059.2998,5067.7998,5066.7998,5056.2998,-8.5,-12.5,-1.6667,london,3.0,1.0,4.0,27.7002,0.0,1,sl,0.0808
128,2026-02-20 11:00:00-05:00,2026-02-20 12:00:00-05:00,short,5084.0,5092.5,5091.5,5081.0,-8.5,-12.5,-1.6667,london,3.0,1.0,4.0,9.7002,0.0,1,sl,0.0901
129,2026-02-20 12:00:00-05:00,2026-02-20 14:00:00-05:00,short,5090.7002,5099.2002,5098.2002,5087.7002,-8.5,-12.5,-1.6667,overlap,3.0,1.0,4.0,11.6997,0.0,3,sl,0.1509
130,2026-02-20 14:00:00-05:00,2026-02-20 15:00:00-05:00,short,5099.3999,5107.8999,5106.8999,5096.3999,-8.5,-12.5,-1.6667,overlap,3.0,1.0,4.0,20.0,0.0,1,sl,0.4846
131,2026-02-20 15:00:00-05:00,2026-02-20 16:00:00-05:00,short,5116.3999,5114.3999,5123.8999,5113.3999,2.0,-2.0,-0.2667,overlap,3.0,1.0,4.0,0.0,35.5,1,tp,0.514
132,2026-02-22 18:00:00-05:00,2026-02-22 19:00:00-05:00,short,5184.2002,5182.2002,5191.7002,5181.2002,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,0.0,18.3003,1,tp,0.2563
133,2026-02-22 19:00:00-05:00,2026-02-22 20:00:00-05:00,short,5162.8999,5171.3999,5170.3999,5159.8999,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,16.5,0.0,1,sl,0.1876
134,2026-02-22 20:00:00-05:00,2026-02-22 21:00:00-05:00,short,5176.3999,5184.8999,5183.8999,5173.3999,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,18.6001,0.0,1,sl,0.1553
135,2026-02-22 21:00:00-05:00,2026-02-22 22:00:00-05:00,short,5192.0,5190.0,5199.5,5189.0,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,0.0,3.6001,1,tp,0.1812
136,2026-02-22 22:00:00-05:00,2026-02-22 23:00:00-05:00,short,5185.3999,5183.3999,5192.8999,5182.3999,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,0.0,4.1001,1,tp,0.132
137,2026-02-22 23:00:00-05:00,2026-02-23 01:00:00-05:00,short,5178.2998,5176.2998,5185.7998,5175.2998,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,1.6001,11.0,2,tp,0.0563
138,2026-02-23 01:00:00-05:00,2026-02-23 02:00:00-05:00,short,5164.2998,5162.2998,5171.7998,5161.2998,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,6.6997,1,tp,0.1926
139,2026-02-23 09:00:00-05:00,2026-02-23 11:00:00-05:00,short,5210.5,5219.0,5218.0,5207.5,-8.5,-12.5,-1.6667,london,3.0,1.0,4.0,19.8999,0.0,3,sl,0.0614
140,2026-02-23 11:00:00-05:00,2026-02-23 14:00:00-05:00,short,5227.3999,5235.8999,5234.8999,5224.3999,-8.5,-12.5,-1.6667,london,3.0,1.0,4.0,8.0,0.0,6,sl,0.2473
141,2026-02-23 14:00:00-05:00,2026-02-23 15:00:00-05:00,short,5232.3999,5240.8999,5239.8999,5229.3999,-8.5,-12.5,-1.6667,overlap,3.0,1.0,4.0,23.2002,0.0,1,sl,0.3416
142,2026-02-23 15:00:00-05:00,2026-02-23 16:00:00-05:00,short,5252.6001,5250.6001,5260.1001,5249.6001,2.0,-2.0,-0.2667,overlap,3.0,1.0,4.0,0.0,4.7002,1,tp,0.3637
143,2026-02-23 16:00:00-05:00,2026-02-23 18:00:00-05:00,short,5244.8999,5253.3999,5252.3999,5241.8999,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,9.6001,0.0,1,sl,0.5628
144,2026-02-23 18:00:00-05:00,2026-02-23 19:00:00-05:00,short,5251.5,5249.5,5259.0,5248.5,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,0.0,8.3999,1,tp,0.4081
